label,▲hydrophobicity_PRAM900101.G1,▲hydrophobicity_PRAM900101.G2,▲hydrophobicity_PRAM900101.G3,▲hydrophobicity_ARGP820101.G1,▲hydrophobicity_ARGP820101.G2,▲hydrophobicity_ARGP820101.G3,▲hydrophobicity_ZIMJ680101.G1,▲hydrophobicity_ZIMJ680101.G2,▲hydrophobicity_ZIMJ680101.G3,▲hydrophobicity_PONP930101.G1,▲hydrophobicity_PONP930101.G2,▲hydrophobicity_PONP930101.G3,▲hydrophobicity_CASG920101.G1,▲hydrophobicity_CASG920101.G2,▲hydrophobicity_CASG920101.G3,▲hydrophobicity_ENGD860101.G1,▲hydrophobicity_ENGD860101.G2,▲hydrophobicity_ENGD860101.G3,▲hydrophobicity_FASG890101.G1,▲hydrophobicity_FASG890101.G2,▲hydrophobicity_FASG890101.G3,▲normwaalsvolume.G1,▲normwaalsvolume.G2,▲normwaalsvolume.G3,▲polarity.G1,▲polarity.G2,▲polarity.G3,▲polarizability.G1,▲polarizability.G2,▲polarizability.G3,▲charge.G1,▲charge.G2,▲charge.G3,▲secondarystruct.G1,▲secondarystruct.G2,▲secondarystruct.G3,▲solventaccess.G1,▲solventaccess.G2,▲solventaccess.G3
1,0.256916996,0.501976285,0.241106719,0.47826087,0.276679842,0.245059289,0.624505929,0.154150198,0.221343874,0.434782609,0.28458498,0.280632411,0.612648221,0.280632411,0.106719368,0.371541502,0.411067194,0.217391304,0.328063241,0.28458498,0.387351779,0.486166008,0.28458498,0.229249012,0.280632411,0.43083004,0.288537549,0.42687747,0.343873518,0.229249012,0.090909091,0.818181818,0.090909091,0.375494071,0.276679842,0.347826087,0.434782609,0.256916996,0.308300395
1,0.230769231,0.526923077,0.242307692,0.480769231,0.276923077,0.242307692,0.619230769,0.161538462,0.219230769,0.453846154,0.253846154,0.292307692,0.630769231,0.253846154,0.115384615,0.334615385,0.446153846,0.219230769,0.376923077,0.253846154,0.369230769,0.519230769,0.234615385,0.246153846,0.292307692,0.465384615,0.242307692,0.457692308,0.296153846,0.246153846,0.107692308,0.823076923,0.069230769,0.35,0.292307692,0.357692308,0.407692308,0.230769231,0.361538462
1,0.215686275,0.545098039,0.239215686,0.517647059,0.219607843,0.262745098,0.631372549,0.121568627,0.247058824,0.439215686,0.247058824,0.31372549,0.62745098,0.274509804,0.098039216,0.329411765,0.447058824,0.223529412,0.356862745,0.270588235,0.37254902,0.529411765,0.247058824,0.223529412,0.31372549,0.466666667,0.219607843,0.474509804,0.301960784,0.223529412,0.074509804,0.847058824,0.078431373,0.317647059,0.294117647,0.388235294,0.415686275,0.215686275,0.368627451
1,0.217857143,0.525,0.257142857,0.439285714,0.3,0.260714286,0.582142857,0.171428571,0.246428571,0.435714286,0.257142857,0.307142857,0.603571429,0.282142857,0.114285714,0.342857143,0.414285714,0.242857143,0.339285714,0.264285714,0.396428571,0.517857143,0.267857143,0.214285714,0.307142857,0.460714286,0.232142857,0.425,0.360714286,0.214285714,0.103571429,0.839285714,0.057142857,0.346428571,0.303571429,0.35,0.435714286,0.217857143,0.346428571
1,0.24,0.52,0.24,0.472,0.252,0.276,0.58,0.16,0.26,0.452,0.232,0.316,0.62,0.284,0.096,0.384,0.392,0.224,0.336,0.284,0.38,0.496,0.268,0.236,0.316,0.436,0.248,0.412,0.352,0.236,0.088,0.836,0.076,0.332,0.288,0.38,0.404,0.24,0.356
1,0.18359375,0.546875,0.26953125,0.44140625,0.2890625,0.26953125,0.5859375,0.1640625,0.25,0.40625,0.2578125,0.3359375,0.55859375,0.3359375,0.10546875,0.3125,0.4375,0.25,0.3046875,0.25390625,0.44140625,0.515625,0.26953125,0.21484375,0.3359375,0.46484375,0.19921875,0.4375,0.34765625,0.21484375,0.0703125,0.875,0.0546875,0.359375,0.3046875,0.3359375,0.453125,0.18359375,0.36328125
1,0.258064516,0.435483871,0.306451613,0.451612903,0.266129032,0.282258065,0.620967742,0.137096774,0.241935484,0.403225806,0.25,0.346774194,0.580645161,0.298387097,0.120967742,0.330645161,0.403225806,0.266129032,0.35483871,0.225806452,0.419354839,0.475806452,0.298387097,0.225806452,0.346774194,0.39516129,0.258064516,0.427419355,0.346774194,0.225806452,0.096774194,0.814516129,0.088709677,0.362903226,0.274193548,0.362903226,0.483870968,0.258064516,0.258064516
1,0.228346457,0.433070866,0.338582677,0.448818898,0.196850394,0.354330709,0.57480315,0.094488189,0.330708661,0.448818898,0.188976378,0.362204724,0.582677165,0.228346457,0.188976378,0.31496063,0.37007874,0.31496063,0.354330709,0.228346457,0.417322835,0.440944882,0.354330709,0.204724409,0.362204724,0.401574803,0.236220472,0.37007874,0.42519685,0.204724409,0.078740157,0.850393701,0.070866142,0.346456693,0.322834646,0.330708661,0.456692913,0.228346457,0.31496063
1,0.18115942,0.456521739,0.362318841,0.413043478,0.275362319,0.311594203,0.52173913,0.195652174,0.282608696,0.420289855,0.173913043,0.405797101,0.536231884,0.333333333,0.130434783,0.289855072,0.376811594,0.333333333,0.311594203,0.224637681,0.463768116,0.463768116,0.333333333,0.202898551,0.405797101,0.405797101,0.188405797,0.376811594,0.420289855,0.202898551,0.065217391,0.884057971,0.050724638,0.31884058,0.333333333,0.347826087,0.47826087,0.18115942,0.34057971
1,0.1875,0.5078125,0.3046875,0.4609375,0.234375,0.3046875,0.5859375,0.125,0.2890625,0.453125,0.1953125,0.3515625,0.5859375,0.2578125,0.15625,0.28125,0.4296875,0.2890625,0.3671875,0.21875,0.4140625,0.5,0.28125,0.21875,0.3515625,0.4609375,0.1875,0.4375,0.34375,0.21875,0.078125,0.875,0.046875,0.328125,0.3359375,0.3359375,0.421875,0.1875,0.390625
